Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
34500,2.72541,2.21319,2.22077,2.2418
34600,2.70102,2.17587,2.20876,2.23114
34700,2.71867,2.19242,2.21668,2.24989
34800,2.7115,2.19448,2.20394,2.24308
34900,2.72044,2.1995,2.2177,2.24623
35000,2.72608,2.19995,2.22062,2.25658
35100,2.72313,2.19448,2.22128,2.25413
35200,2.72395,2.19729,2.22365,2.25102
35300,2.73003,2.20443,2.22812,2.25434
35400,2.72364,2.20708,2.21916,2.24513
35500,2.71528,2.1844,2.21974,2.24646
35600,2.72783,2.20464,2.22187,2.25499
35700,2.73081,2.20508,2.2299,2.25384
35800,2.72309,2.18763,2.23543,2.24668
35900,2.71947,2.19072,2.21697,2.25317
36000,2.71707,2.18713,2.22369,2.24425
36100,2.71329,2.18254,2.21746,2.24573
36200,2.72506,2.20026,2.2252,2.24928
36300,2.72341,2.1976,2.2264,2.24669
36400,2.72198,2.19886,2.21624,2.25203
36500,2.725,2.20512,2.22301,2.24654
36600,2.73056,2.21007,2.23087,2.24738
36700,2.72336,2.20227,2.22536,2.24302
36800,2.72237,2.18934,2.23161,2.24706
36900,2.7222,2.19587,2.22108,2.25071
37000,2.72406,2.19903,2.22025,2.25295
37100,2.72787,2.2019,2.22113,2.25849
37200,2.72388,2.20139,2.22393,2.24657
37300,2.72788,2.20509,2.23073,2.2459
37400,2.72222,2.19641,2.22085,2.25045
37500,2.71414,2.18233,2.22018,2.24529
37600,2.72207,2.19046,2.22531,2.2515
37700,2.71679,2.19276,2.21017,2.2514
37800,2.71698,2.18543,2.22451,2.24486
37900,2.71811,2.19644,2.21325,2.24798
38000,2.72334,2.20625,2.2169,2.24744
38100,2.72391,2.19761,2.23206,2.24227
38200,2.71465,2.19113,2.21569,2.24238
38300,2.70485,2.18631,2.21145,2.22755
38400,2.72559,2.2005,2.22249,2.253
38500,2.71665,2.18949,2.22354,2.24108
38600,2.72018,2.19779,2.22173,2.24329
38700,2.72588,2.20724,2.22725,2.24238
38800,2.71973,2.19097,2.21931,2.25126
38900,2.71831,2.20021,2.2124,2.24561
39000,2.72739,2.20097,2.22989,2.24959
39100,2.72125,2.19994,2.21829,2.24718
39200,2.71168,2.19428,2.20893,2.23879
39300,2.71769,2.19342,2.21936,2.24388
39400,2.72245,2.19688,2.22365,2.24778
39500,2.71931,2.19812,2.21604,2.24649
39600,2.71665,2.19426,2.21607,2.24379
39700,2.71966,2.19841,2.21411,2.24896
39800,2.7188,2.19224,2.21232,2.25464
39900,2.73031,2.20065,2.22897,2.25787
40000,2.72359,2.20808,2.21059,2.25245
40100,2.72175,2.19325,2.2126,2.26052
40200,2.72427,2.2015,2.20975,2.26134
40300,2.70307,2.18704,2.19395,2.23978
40400,2.72086,2.19622,2.20915,2.25885
40500,2.71438,2.19605,2.20839,2.24412
40600,2.72637,2.21166,2.21447,2.25185
40700,2.72652,2.20105,2.21648,2.26063
40800,2.7238,2.20354,2.20752,2.2604
40900,2.72698,2.20517,2.21669,2.25752
41000,2.7286,2.2023,2.22546,2.2556
