Time (ps),Rg (nm),Rg\sX\N,Rg\sY\N,Rg\sZ\N
19100,1.42208,1.20996,1.05162,1.21437
19200,1.42207,1.21484,1.0414,1.21829
19300,1.41598,1.20481,1.03518,1.21936
19400,1.41078,1.19661,1.04165,1.20983
19500,1.40219,1.19325,1.02914,1.20386
19600,1.41207,1.20446,1.04286,1.20399
19700,1.4098,1.2013,1.03102,1.21201
19800,1.3895,1.17505,1.03139,1.19035
19900,1.39204,1.17775,1.02669,1.19763
20000,1.38318,1.16472,1.03411,1.1834
20100,1.40835,1.19767,1.03292,1.21061
20200,1.3822,1.17049,1.02965,1.1793
20300,1.38469,1.16698,1.04305,1.17683
20400,1.38124,1.16283,1.02807,1.18597
20500,1.3768,1.15927,1.03119,1.17638
20600,1.37599,1.15433,1.03962,1.17193
20700,1.38319,1.15731,1.046,1.18023
20800,1.37647,1.15366,1.03944,1.17389
20900,1.38856,1.16422,1.04843,1.18388
21000,1.38659,1.16687,1.04275,1.18167
21100,1.37977,1.15433,1.04264,1.17811
21200,1.38089,1.15983,1.03801,1.17942
21300,1.38311,1.16133,1.04408,1.1778
21400,1.39095,1.16309,1.04716,1.1917
21500,1.39759,1.17259,1.04864,1.19661
21600,1.39575,1.17172,1.04425,1.19701
21700,1.38866,1.16561,1.03264,1.19657
21800,1.38887,1.16106,1.04765,1.18841
21900,1.39161,1.16938,1.0481,1.18624
22000,1.39945,1.16957,1.04837,1.20414
22100,1.40031,1.17944,1.04964,1.19536
22200,1.39167,1.16408,1.04644,1.19305
22300,1.39962,1.17728,1.05584,1.19042
22400,1.38527,1.16639,1.04206,1.17965
22500,1.39285,1.1663,1.04977,1.1907
22600,1.39053,1.16275,1.04764,1.19063
22700,1.38537,1.15893,1.04398,1.18553
22800,1.39063,1.16261,1.05093,1.1881
22900,1.39036,1.16815,1.04709,1.18542
23000,1.39226,1.16274,1.05435,1.18878
23100,1.39877,1.17179,1.05969,1.19041
23200,1.3955,1.16637,1.05559,1.1917
